         181909 function calls (180522 primitive calls) in 287.348 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.013    0.013 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/client.py:3311(_graph_to_futures)
        1    0.000    0.000    0.012    0.012 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/protocol/serialize.py:228(serialize)
        1    0.000    0.000    0.012    0.012 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/protocol/serialize.py:69(pickle_dumps)
        1    0.000    0.000    0.012    0.012 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/protocol/pickle.py:47(dumps)
        1    0.000    0.000    0.012    0.012 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/delayed.py:533(optimize)
      125    0.000    0.000    0.012    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/asyncio/selector_events.py:124(_write_to_self)
        2    0.002    0.001    0.012    0.006 {method 'dump' of '_pickle.Pickler' objects}
      180    0.000    0.000    0.012    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/delayed.py:723(__call__)
        1    0.001    0.001    0.012    0.012 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/highlevelgraph.py:707(cull)
      125    0.012    0.000    0.012    0.000 {method 'send' of '_socket.socket' objects}
        1    0.000    0.000    0.012    0.012 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cloudpickle/cloudpickle.py:1522(dumps)
        1    0.000    0.000    0.012    0.012 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cloudpickle/cloudpickle.py:1301(dump)
      180    0.001    0.000    0.012    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/delayed.py:679(call_function)
     2561    0.007    0.000    0.011    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/utils.py:1866(expired)
       54    0.000    0.000    0.011    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/tqdm/std.py:457(print_status)
        1    0.000    0.000    0.011    0.011 /caefs/user/mmingyeong/structura/Structura/src/data_loader.py:426(<listcomp>)
     2560    0.009    0.000    0.009    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
      861    0.001    0.000    0.009    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cloudpickle/cloudpickle.py:1348(reducer_override)
        1    0.000    0.000    0.008    0.008 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/utils.py:518(start)
