         1031173 function calls (1012260 primitive calls) in 4.191 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.242    0.061 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:1989(_switch_canvas_and_return_print_method)
        1    0.000    0.000    0.242    0.242 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:139(get_registered_canvas_class)
        1    0.000    0.000    0.239    0.239 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_pdf.py:1(<module>)
        1    0.000    0.000    0.233    0.233 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/_backend_pdf_ps.py:1(<module>)
        1    0.000    0.000    0.226    0.226 /home/users/mmingyeong/.local/lib/python3.10/site-packages/fontTools/subset/__init__.py:1(<module>)
        1    0.000    0.000    0.207    0.207 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/__init__.py:1(<module>)
       22    0.000    0.000    0.194    0.009 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/image.py:138(flush_images)
        1    0.000    0.000    0.191    0.191 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cupy/_statistics/histogram.py:481(bincount)
        1    0.001    0.001    0.187    0.187 {method 'any' of 'cupy._core.core._ndarray_base' objects}
       16    0.000    0.000    0.181    0.011 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:1379(draw)
        2    0.000    0.000    0.174    0.087 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:381(draw)
        1    0.000    0.000    0.173    0.173 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cupy/_creation/from_data.py:56(asarray)
        3    0.173    0.058    0.173    0.058 {built-in method cupy._core.core.array}
      274    0.002    0.000    0.157    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
       24    0.000    0.000    0.142    0.006 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:1320(get_tightbbox)
      144    0.004    0.000    0.137    0.001 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:1270(_update_ticks)
     10/2    0.000    0.000    0.135    0.068 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/_api/deprecation.py:443(wrapper)
        2    0.000    0.000    0.135    0.068 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/figure.py:1736(get_tightbbox)
        1    0.000    0.000    0.134    0.134 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_pdf.py:823(finalize)
        8    0.000    0.000    0.124    0.015 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:4338(get_tightbbox)
      302    0.000    0.000    0.124    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/utils.py:983(wrapper)
        1    0.000    0.000    0.123    0.123 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cupy/_manipulation/join.py:133(stack)
      302    0.003    0.000    0.123    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/utils.py:890(_derived_from)
        1    0.000    0.000    0.123    0.123 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cupy/_manipulation/join.py:35(concatenate)
        1    0.009    0.009    0.123    0.123 {built-in method cupy._core._routines_manipulation.concatenate_method}
      472    0.004    0.000    0.120    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/text.py:915(get_window_extent)
        1    0.000    0.000    0.118    0.118 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/base.py:1(<module>)
        1    0.000    0.000    0.112    0.112 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_pdf.py:1785(writeImages)
      468    0.014    0.000    0.111    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/text.py:358(_get_layout)
      274    0.001    0.000    0.103    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        2    0.005    0.003    0.102    0.051 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_pdf.py:1722(_writeImg)
      274    0.101    0.000    0.101    0.000 {built-in method marshal.loads}
       16    0.001    0.000    0.097    0.006 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:2943(_update_title_position)
       24    0.000    0.000    0.093    0.004 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:2599(_update_label_position)
       80    0.000    0.000    0.092    0.001 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:1311(_get_ticklabel_bboxes)
      274    0.090    0.000    0.090    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.086    0.086 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/delayed.py:1(<module>)
      145    0.083    0.001    0.086    0.001 {built-in method io.open}
        1    0.000    0.000    0.081    0.081 /home/users/mmingyeong/.local/lib/python3.10/site-packages/fontTools/ttLib/__init__.py:1(<module>)
        1    0.000    0.000    0.078    0.078 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/local.py:1(<module>)
       40    0.000    0.000    0.077    0.002 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:2143(_get_tick_boxes_siblings)
        1    0.000    0.000    0.076    0.076 /home/users/mmingyeong/.local/lib/python3.10/site-packages/fontTools/ttLib/ttFont.py:1(<module>)
        1    0.000    0.000    0.074    0.074 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/_task_spec.py:1(<module>)
