Tue Apr 15 10:31:42 2025    cprofile_batch_density.prof

         816132 function calls (811346 primitive calls) in 2429.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.027    0.002    0.027    0.002 {method '__exit__' of '_io._IOBase' objects}
      598    0.004    0.000    0.026    0.000 genericpath.py:39(isdir)
     1344    0.016    0.000    0.024    0.000 util.py:433(_flush_std_streams)
 5382/598    0.021    0.000    0.023    0.000 ast.py:84(_convert)
     1345    0.016    0.000    0.022    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.020    0.020 std.py:663(__new__)
       14    0.002    0.000    0.020    0.001 process.py:589(__init__)
        1    0.000    0.000    0.019    0.019 std.py:952(__init__)
        1    0.000    0.000    0.019    0.019 std.py:760(get_lock)
        1    0.000    0.000    0.019    0.019 std.py:90(__init__)
        1    0.000    0.000    0.019    0.019 std.py:116(create_mp_lock)
        1    0.000    0.000    0.019    0.019 context.py:70(RLock)
      600    0.004    0.000    0.018    0.000 std.py:451(fp_write)
        1    0.000    0.000    0.018    0.018 utils.py:333(_screen_shape_linux)
       15    0.000    0.000    0.017    0.001 threading.py:916(start)
        4    0.000    0.000    0.017    0.004 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     1196    0.012    0.000    0.017    0.000 posixpath.py:71(join)
     1201    0.008    0.000    0.016    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.016    0.005 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.016    0.016 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.016    0.016    0.016    0.016 {built-in method _imp.create_dynamic}
     1168    0.015    0.000    0.015    0.000 {built-in method time.localtime}
     1344    0.004    0.000    0.015    0.000 util.py:205(__call__)
     1202    0.001    0.000    0.014    0.000 utils.py:194(inner)
      598    0.005    0.000    0.014    0.000 contextlib.py:482(enter_context)
      584    0.009    0.000    0.014    0.000 __init__.py:1549(findCaller)
     1182    0.005    0.000    0.014    0.000 posixpath.py:117(splitext)
       71    0.004    0.000    0.013    0.000 synchronize.py:50(__init__)
       14    0.000    0.000    0.012    0.001 process.py:163(__init__)
       14    0.000    0.000    0.012    0.001 queues.py:37(__init__)
      600    0.009    0.000    0.012    0.000 std.py:1446(format_dict)
     3554    0.011    0.000    0.011    0.000 std.py:231(__call__)
       56    0.001    0.000    0.011    0.000 context.py:65(Lock)
     1200    0.008    0.000    0.011    0.000 utils.py:273(_is_ascii)
     5404    0.011    0.000    0.011    0.000 {built-in method posix.close}
      598    0.006    0.000    0.011    0.000 posixpath.py:100(split)
       56    0.000    0.000    0.011    0.000 synchronize.py:161(__init__)
     1168    0.002    0.000    0.011    0.000 __init__.py:649(formatMessage)
       15    0.000    0.000    0.010    0.001 threading.py:589(wait)
     1199    0.009    0.000    0.010    0.000 std.py:400(format_interval)
     1794    0.007    0.000    0.010    0.000 format.py:951(_read_bytes)
     1344    0.001    0.000    0.010    0.000 util.py:461(close_fds)
      598    0.004    0.000    0.009    0.000 format.py:223(read_magic)
     1450    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap>:404(parent)
     2730    0.009    0.000    0.009    0.000 {built-in method posix.pipe}
     1182    0.005    0.000    0.009    0.000 posixpath.py:140(basename)
     1168    0.009    0.000    0.009    0.000 {built-in method time.strftime}
     1168    0.002    0.000    0.009    0.000 __init__.py:438(format)
     2844    0.002    0.000    0.008    0.000 {built-in method builtins.next}
      598    0.004    0.000    0.008    0.000 contextlib.py:509(_push_cm_exit)
     2336    0.005    0.000    0.008    0.000 __init__.py:912(acquire)
     1461    0.002    0.000    0.008    0.000 {method 'join' of 'str' objects}
     1182    0.006    0.000    0.007    0.000 genericpath.py:121(_splitext)
       71    0.001    0.000    0.007    0.000 synchronize.py:114(_make_name)
    20369    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
      600    0.006    0.000    0.007    0.000 std.py:186(__format__)
     1344    0.007    0.000    0.007    0.000 {method 'copy' of 'dict' objects}
     1344    0.004    0.000    0.007    0.000 process.py:234(ident)
     4285    0.007    0.000    0.007    0.000 {method 'release' of '_thread.RLock' objects}
     1168    0.007    0.000    0.007    0.000 __init__.py:431(_format)
     1168    0.002    0.000    0.007    0.000 __init__.py:643(usesTime)
      599    0.007    0.000    0.007    0.000 {built-in method now}
      387    0.001    0.000    0.007    0.000 process.py:77(wakeup)
       15    0.006    0.000    0.006    0.000 {built-in method _thread.start_new_thread}
       71    0.001    0.000    0.006    0.000 tempfile.py:153(__next__)
     2976    0.004    0.000    0.006    0.000 posixpath.py:41(_get_sep)
        3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:921(_find_spec)
      603    0.004    0.000    0.006    0.000 std.py:102(acquire)
      387    0.002    0.000    0.006    0.000 connection.py:181(send_bytes)
        3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap_external>:1431(find_spec)
        3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap_external>:1399(_get_spec)
        6    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
     2688    0.005    0.000    0.005    0.000 process.py:94(<genexpr>)
      598    0.005    0.000    0.005    0.000 format.py:282(descr_to_dtype)
       11    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       14    0.001    0.000    0.005    0.000 process.py:271(__init__)
     1800    0.005    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
      612    0.004    0.000    0.005    0.000 py3k.py:49(isfileobj)
     1928    0.005    0.000    0.005    0.000 process.py:189(name)
     1168    0.003    0.000    0.004    0.000 __init__.py:423(usesTime)
      600    0.004    0.000    0.004    0.000 std.py:153(__init__)
     4148    0.004    0.000    0.004    0.000 {method 'rfind' of 'str' objects}
        1    0.004    0.004    0.004    0.004 {built-in method posix.listdir}
     4285    0.004    0.000    0.004    0.000 {method 'acquire' of '_thread.RLock' objects}
      612    0.001    0.000    0.004    0.000 abc.py:117(__instancecheck__)
       71    0.001    0.000    0.004    0.000 random.py:506(choices)
        3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
        3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    13318    0.004    0.000    0.004    0.000 {built-in method builtins.len}
     4184    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     2336    0.003    0.000    0.004    0.000 __init__.py:919(release)
      387    0.001    0.000    0.004    0.000 connection.py:390(_send_bytes)
     1752    0.004    0.000    0.004    0.000 __init__.py:806(filter)
       15    0.001    0.000    0.003    0.000 threading.py:827(__init__)
      603    0.002    0.000    0.003    0.000 std.py:106(release)
      373    0.002    0.000    0.003    0.000 _base.py:366(cancel)
    12600    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
      598    0.001    0.000    0.003    0.000 {built-in method builtins.all}
     3118    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
       71    0.001    0.000    0.003    0.000 random.py:519(<listcomp>)
      584    0.002    0.000    0.003    0.000 __init__.py:160(<lambda>)
        2    0.003    0.001    0.003    0.001 {built-in method io.open_code}
     2688    0.003    0.000    0.003    0.000 process.py:99(_check_closed)
       14    0.000    0.000    0.003    0.000 context.py:110(SimpleQueue)
